scenario,description,counterfactual_class,counterfactual_level,counterfactual,irrigation,additional_extension,sowing_window_shift,fertilizer,temperature,rainfall,ensemble_member,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S1_IRRI_ir04_E33,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,0.04,0,0,0,0,0,33,"cool,dry",0.7,High tercile
S1_IRRI_ir04_E34,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,0.04,0,0,0,0,0,34,"cool,dry",0.64,Middle tercile
S1_IRRI_ir06_H,Historical,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,NA,NA,NA,NA
S1_IRRI_ir06_E01,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,1,"warm,wet",0.12,Low tercile
S1_IRRI_ir06_E02,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,2,midrange,0.15,Low tercile
S1_IRRI_ir06_E03,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,3,"warm,dry",0.24,Low tercile
S1_IRRI_ir06_E04,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,4,midrange,0.27,Low tercile
S1_IRRI_ir06_E05,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,5,"cool,wet",0.03,Low tercile
S1_IRRI_ir06_E06,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,6,midrange,0.67,Middle tercile
S1_IRRI_ir06_E07,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,7,"warm,wet",0.3,Low tercile
S1_IRRI_ir06_E08,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,8,midrange,0.09,Low tercile
S1_IRRI_ir06_E09,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,9,"warm,dry",1,High tercile
S1_IRRI_ir06_E10,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,10,"cool,wet",0.52,Middle tercile
S1_IRRI_ir06_E11,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,11,midrange,0.06,Low tercile
S1_IRRI_ir06_E12,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,12,"cool,wet",0,Low tercile
S1_IRRI_ir06_E13,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,13,"warm,dry",0.58,Middle tercile
S1_IRRI_ir06_E14,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,14,"warm,dry",0.88,High tercile
S1_IRRI_ir06_E15,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,15,"warm,dry",0.36,Middle tercile
S1_IRRI_ir06_E16,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,16,"warm,dry",0.45,Middle tercile
S1_IRRI_ir06_E17,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,17,"warm,wet",0.33,Low tercile
S1_IRRI_ir06_E18,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,18,"warm,wet",0.21,Low tercile
S1_IRRI_ir06_E19,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,19,"cool,wet",0.61,Middle tercile
S1_IRRI_ir06_E20,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,20,"cool,wet",0.18,Low tercile
S1_IRRI_ir06_E21,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,21,"cool,wet",0.85,High tercile
S1_IRRI_ir06_E22,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,22,"cool,wet",0.48,Middle tercile
S1_IRRI_ir06_E23,Backcast 30 Apr 2018,Irrigation,Irrigated area=6%,2018 landuse+irrigated area=6%,0.06,0,0,0,0,0,23,"cool,dry",0.76,High tercile
