scenario,simulation_mode,counterfactual_class,counterfactual_level,counterfactual,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S1_IRRI_ir02_E31,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,dry",39%,Middle tercile
S1_IRRI_ir02_E32,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,dry",97%,High tercile
S1_IRRI_ir02_E33,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,dry",70%,High tercile
S1_IRRI_ir02_E34,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,dry",64%,Middle tercile
S1_IRRI_ir04_H,Historical,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,NA,NA,NA
S1_IRRI_ir04_E01,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,wet",12%,Low tercile
S1_IRRI_ir04_E02,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,midrange,15%,Low tercile
S1_IRRI_ir04_E03,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,dry",24%,Low tercile
S1_IRRI_ir04_E04,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,midrange,27%,Low tercile
S1_IRRI_ir04_E05,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,wet",3%,Low tercile
S1_IRRI_ir04_E06,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,midrange,67%,Middle tercile
S1_IRRI_ir04_E07,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,wet",30%,Low tercile
S1_IRRI_ir04_E08,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,midrange,9%,Low tercile
S1_IRRI_ir04_E09,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,dry",100%,High tercile
S1_IRRI_ir04_E10,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,wet",52%,Middle tercile
S1_IRRI_ir04_E11,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,midrange,6%,Low tercile
S1_IRRI_ir04_E12,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,wet",0%,Low tercile
S1_IRRI_ir04_E13,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,dry",58%,Middle tercile
S1_IRRI_ir04_E14,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,dry",88%,High tercile
S1_IRRI_ir04_E15,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,dry",36%,Middle tercile
S1_IRRI_ir04_E16,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,dry",45%,Middle tercile
S1_IRRI_ir04_E17,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,wet",33%,Low tercile
S1_IRRI_ir04_E18,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"warm,wet",21%,Low tercile
S1_IRRI_ir04_E19,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,wet",61%,Middle tercile
S1_IRRI_ir04_E20,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,wet",18%,Low tercile
S1_IRRI_ir04_E21,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,wet",85%,High tercile
S1_IRRI_ir04_E22,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,wet",48%,Middle tercile
S1_IRRI_ir04_E23,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,dry",76%,High tercile
S1_IRRI_ir04_E24,Backcast 30 Apr 2018,Irrigation,Irrigated area=4%,2018 land use+irrigated area=4%,"cool,dry",55%,Middle tercile
