Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
7.375,30.625,-18.45903641,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.625,-13.00727608,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.625,-12.23310731,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.625,-4.31001378,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.625,-3.13513838,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.625,-4.8991627,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.625,7.32479385,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.625,8.63608462,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.625,-11.57133504,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.625,2.24932812,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.625,-1.29500135,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.625,-1.23139536,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.625,6.33641123,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.625,4.51519575,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.625,-2.83210357,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.625,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.875,-15.1371771,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.875,-15.1371771,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.875,-29.2171497,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.875,-20.39755544,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.875,-2.91458685,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.875,-3.64445905,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.875,-5.57652804,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.875,-8.9651828,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
