Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
9.625,30.375,-9.20412661,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.375,-9.60840609,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.375,-5.13534896,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.375,-13.49884689,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.375,-18.92890482,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.375,-18.57843148,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.375,-13.75370249,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.375,-10.25138403,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.375,-9.72003852,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.375,-7.53533318,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.375,-6.98046796,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.375,-15.07449919,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.375,-14.96157386,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.375,-8.16934292,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.375,-3.45336504,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.375,2.35115345,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.375,3.98949485,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.375,2.26384956,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.375,6.14227271,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.375,0.32764516,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.375,2.39155309,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.375,1.8983342,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.375,2.71910916,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.375,0.56020439,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.375,,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.625,-7.86986593,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.625,-7.86986593,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.625,-22.12411998,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.625,-21.29049343,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.625,-7.43691837,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.625,-6.78202776,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.625,-9.5021412,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.625,-9.17573263,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.625,-23.37575886,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.625,-18.85456474,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.625,-10.81870783,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.625,-11.24011481,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.625,-17.4086658,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.625,-12.9481201,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.625,-11.45212659,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.625,-3.93133857,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.625,-5.53547404,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.625,-5.11803688,maize,0,0,Temperature/Precipitation Sensitivity Tests,2018-01-01
