scenario,GID_2,cropping_year,yield_meher_maize,yield_meher_wheat,yield_meher_teff,yield_meher_sorghum,yield_meher_barley,yield_belg_maize,yield_belg_wheat,yield_belg_teff,yield_belg_sorghum,yield_belg_barley,rel_anomaly_yield_meher_maize,rel_anomaly_yield_meher_wheat,rel_anomaly_yield_meher_teff,rel_anomaly_yield_meher_sorghum,rel_anomaly_yield_meher_barley,rel_anomaly_yield_belg_maize,rel_anomaly_yield_belg_wheat,rel_anomaly_yield_belg_teff,rel_anomaly_yield_belg_sorghum,rel_anomaly_yield_belg_barley
S0_BASE_bs00_E17,ETH.8.10,2018,51.58,8.40,3.16,NA,34.14,44.45,7.41,3.02,NA,29.47,-3.28,43.90,-51.72,NA,-0.19,-11.84,-10.84,-73.48,NA,-20.43
S0_BASE_bs00_E18,ETH.8.10,2018,51.86,9.05,6.84,NA,37.67,47.63,5.37,3.06,NA,33.16,-2.75,54.91,4.59,NA,10.15,-5.54,-35.32,-73.12,NA,-10.46
S0_BASE_bs00_E19,ETH.8.10,2018,50.87,9.04,1.12,NA,36.66,47.02,4.95,1.92,NA,33.51,-4.61,54.72,-82.86,NA,7.20,-6.74,-40.38,-83.10,NA,-9.52
S0_BASE_bs00_E20,ETH.8.10,2018,46.99,10.09,0.87,NA,34.40,42.58,6.12,1.98,NA,28.86,-11.89,72.69,-86.64,NA,0.60,-15.54,-26.36,-82.61,NA,-22.07
S0_BASE_bs00_E21,ETH.8.10,2018,53.77,5.99,8.01,NA,41.15,48.30,4.96,3.18,NA,33.40,0.82,2.48,22.41,NA,20.31,-4.20,-40.34,-72.06,NA,-9.81
S0_BASE_bs00_E22,ETH.8.10,2018,43.30,9.23,0.89,NA,31.52,42.16,7.81,2.42,NA,29.65,-18.81,57.99,-86.45,NA,-7.85,-16.38,-6.06,-78.75,NA,-19.92
S0_BASE_bs00_E23,ETH.8.10,2018,54.29,7.17,0.73,NA,36.00,48.68,6.04,4.17,NA,33.37,1.79,22.82,-88.87,NA,5.26,-3.46,-27.29,-63.33,NA,-9.88
S0_BASE_bs00_E24,ETH.8.10,2018,52.17,6.32,1.65,NA,34.98,43.23,5.28,2.06,NA,33.54,-2.18,8.16,-74.72,NA,2.28,-14.25,-36.50,-81.88,NA,-9.43
S0_BASE_bs00_E25,ETH.8.10,2018,52.13,8.98,1.05,NA,38.62,46.96,5.08,2.12,NA,30.21,-2.24,53.79,-83.95,NA,12.92,-6.85,-38.91,-81.36,NA,-18.41
S0_BASE_bs00_E26,ETH.8.10,2018,53.23,5.60,5.67,NA,37.41,48.44,5.22,2.87,NA,33.77,-0.19,-4.14,-13.35,NA,9.38,-3.93,-37.14,-74.76,NA,-8.80
S0_BASE_bs00_E27,ETH.8.10,2018,54.85,6.73,1.98,NA,34.06,49.77,5.70,2.01,NA,33.26,2.86,15.20,-69.70,NA,-0.42,-1.28,-31.35,-82.36,NA,-10.19
S0_BASE_bs00_E28,ETH.8.10,2018,54.87,6.39,2.45,NA,37.49,51.19,5.13,2.17,NA,31.88,2.88,9.44,-62.59,NA,9.61,1.53,-38.25,-80.97,NA,-13.91
S0_BASE_bs00_E29,ETH.8.10,2018,53.17,7.49,4.93,NA,39.56,48.53,5.60,3.39,NA,30.51,-0.30,28.25,-24.66,NA,15.68,-3.75,-32.59,-70.22,NA,-17.60
S0_BASE_bs00_E30,ETH.8.10,2018,50.27,9.95,1.53,NA,29.47,43.67,5.25,2.38,NA,30.16,-5.74,70.31,-76.58,NA,-13.82,-13.39,-36.84,-79.07,NA,-18.56
S0_BASE_bs00_E31,ETH.8.10,2018,52.05,7.71,0.78,NA,38.96,49.09,7.78,2.23,NA,29.37,-2.41,32.05,-88.04,NA,13.91,-2.63,-6.43,-80.45,NA,-20.70
S0_BASE_bs00_E32,ETH.8.10,2018,51.33,7.51,3.25,NA,36.67,45.68,8.17,2.84,NA,32.59,-3.75,28.58,-50.31,NA,7.22,-9.40,-1.68,-75.00,NA,-11.99
S0_BASE_bs00_E33,ETH.8.10,2018,51.67,6.66,0.95,NA,31.57,45.71,4.70,3.00,NA,33.28,-3.10,13.99,-85.49,NA,-7.70,-9.33,-43.45,-73.64,NA,-10.12
S0_BASE_bs00_E34,ETH.8.10,2018,51.31,6.89,0.99,NA,25.60,46.96,6.89,2.22,NA,28.50,-3.78,18.00,-84.92,NA,-25.15,-6.86,-17.05,-80.46,NA,-23.02
S0_BASE_bs00_E01,ETH.8.11,2018,32.43,21.78,11.03,33.00,18.60,34.62,21.91,9.87,33.08,24.53,15.77,17.22,12.27,1.09,17.33,26.89,49.84,26.69,6.88,59.67
S0_BASE_bs00_E02,ETH.8.11,2018,34.57,18.59,9.50,33.61,15.91,32.91,21.70,9.85,32.49,24.98,23.43,0.05,-3.23,2.93,0.40,20.65,48.44,26.49,4.98,62.65
S0_BASE_bs00_E03,ETH.8.11,2018,26.72,11.87,7.08,30.64,9.27,32.76,21.12,2.59,32.25,22.79,-4.59,-36.10,-27.89,-6.16,-41.49,20.09,44.49,-66.73,4.21,48.35
S0_BASE_bs00_E04,ETH.8.11,2018,29.72,19.40,9.65,31.37,21.75,30.19,19.34,6.81,25.89,20.95,6.10,4.40,-1.73,-3.92,37.23,10.67,32.28,-12.63,-16.35,36.40
S0_BASE_bs00_E05,ETH.8.11,2018,34.45,21.43,11.46,33.35,20.22,31.66,17.83,10.35,30.66,20.01,23.00,15.34,16.67,2.15,27.59,16.07,21.94,32.84,-0.93,30.30
S0_BASE_bs00_E06,ETH.8.11,2018,36.22,22.73,12.19,37.42,19.61,29.77,16.32,10.04,33.44,18.37,29.30,22.34,24.09,14.60,23.70,9.14,11.60,28.94,8.05,19.63
S0_BASE_bs00_E07,ETH.8.11,2018,36.58,19.19,10.31,30.95,15.02,37.73,19.94,9.29,30.54,19.85,30.60,3.30,5.03,-5.22,-5.21,38.31,36.39,19.28,-1.31,29.25
S0_BASE_bs00_E08,ETH.8.11,2018,31.61,22.05,11.66,33.80,19.80,34.76,21.57,8.23,30.13,23.71,12.84,18.70,18.77,3.53,24.90,27.43,47.53,5.66,-2.64,54.39
S0_BASE_bs00_E09,ETH.8.11,2018,32.86,15.20,7.61,30.21,14.18,27.73,9.85,7.33,26.43,15.54,17.33,-18.17,-22.55,-7.49,-10.57,1.66,-32.61,-5.96,-14.61,1.15
S0_BASE_bs00_E10,ETH.8.11,2018,35.92,23.95,11.69,38.63,16.39,32.51,18.82,10.15,35.03,20.83,28.24,28.90,19.04,18.32,3.42,19.17,28.75,30.35,13.18,35.64
S0_BASE_bs00_E11,ETH.8.11,2018,31.29,18.92,10.60,34.68,19.50,35.08,18.26,7.19,31.77,19.16,11.70,1.84,7.97,6.22,23.06,28.60,24.90,-7.68,2.64,24.73
S0_BASE_bs00_E12,ETH.8.11,2018,31.10,17.40,10.30,32.57,14.28,31.06,19.28,6.25,30.90,18.81,11.03,-6.34,4.87,-0.24,-9.90,13.85,31.91,-19.75,-0.17,22.46
S0_BASE_bs00_E13,ETH.8.11,2018,33.40,15.91,9.09,32.37,14.24,33.93,23.60,8.24,30.44,24.81,19.26,-14.35,-7.43,-0.86,-10.18,24.36,61.40,5.78,-1.65,61.51
S0_BASE_bs00_E14,ETH.8.11,2018,29.65,15.72,10.46,30.75,15.82,26.85,7.44,3.87,26.82,14.03,5.84,-15.40,6.49,-5.82,-0.21,-1.58,-49.14,-50.28,-13.36,-8.64
S0_BASE_bs00_E15,ETH.8.11,2018,32.13,19.75,12.52,30.18,15.24,31.98,13.11,7.06,26.97,16.20,14.72,6.30,27.54,-7.57,-3.83,17.23,-10.30,-9.32,-12.86,5.45
S0_BASE_bs00_E16,ETH.8.11,2018,27.70,11.40,7.78,30.62,12.44,28.55,16.08,4.61,25.80,17.18,-1.12,-38.64,-20.78,-6.21,-21.48,4.66,9.99,-40.76,-16.63,11.82
S0_BASE_bs00_E17,ETH.8.11,2018,32.84,17.92,11.31,31.14,15.72,32.64,17.22,5.93,27.82,19.03,17.23,-3.55,15.19,-4.64,-0.85,19.64,17.81,-23.85,-10.11,23.88
S0_BASE_bs00_E18,ETH.8.11,2018,32.12,15.95,9.82,31.69,16.94,28.00,11.58,5.21,28.26,17.11,14.66,-14.18,0.05,-2.95,6.90,2.65,-20.81,-33.11,-8.69,11.42
S0_BASE_bs00_E19,ETH.8.11,2018,38.29,21.76,10.84,37.60,21.43,29.09,10.57,11.38,31.84,16.51,36.69,17.14,10.43,15.18,35.22,6.62,-27.72,46.14,2.86,7.48
S0_BASE_bs00_E20,ETH.8.11,2018,29.88,18.84,10.39,36.97,18.23,30.77,15.81,6.75,28.70,18.65,6.68,1.38,5.77,13.24,15.00,12.79,8.17,-13.33,-7.29,21.44
S0_BASE_bs00_E21,ETH.8.11,2018,35.50,17.71,8.72,34.03,12.99,33.71,18.98,10.73,31.46,20.27,26.73,-4.66,-11.20,4.22,-18.08,23.58,29.84,37.78,1.65,32.00
S0_BASE_bs00_E22,ETH.8.11,2018,38.06,22.18,10.67,35.55,17.77,37.43,23.57,12.66,33.48,23.62,35.88,19.40,8.61,8.90,12.14,37.22,61.24,62.46,8.16,53.77
S0_BASE_bs00_E23,ETH.8.11,2018,33.01,21.53,11.53,32.49,15.77,31.10,15.42,8.97,27.98,18.74,17.86,15.90,17.40,-0.48,-0.49,13.99,5.46,15.18,-9.61,21.99
S0_BASE_bs00_E24,ETH.8.11,2018,38.83,22.64,12.29,35.62,18.04,34.61,20.52,12.72,33.98,22.97,38.64,21.86,25.15,9.11,13.81,26.89,40.37,63.22,9.78,49.53
S0_BASE_bs00_E25,ETH.8.11,2018,34.21,19.50,8.23,34.52,18.54,34.26,24.11,7.26,32.17,25.57,22.15,4.93,-16.23,5.72,16.96,25.59,64.94,-6.75,3.93,66.48
S0_BASE_bs00_E26,ETH.8.11,2018,34.52,21.60,12.01,33.81,20.24,34.15,20.14,8.41,32.65,21.30,23.26,16.28,22.32,3.55,27.70,25.19,37.77,7.90,5.50,38.68
S0_BASE_bs00_E27,ETH.8.11,2018,34.14,22.28,11.11,34.02,17.87,34.14,20.52,10.26,30.27,22.46,21.87,19.89,13.14,4.21,12.76,25.16,40.33,31.74,-2.21,46.23
S0_BASE_bs00_E28,ETH.8.11,2018,33.36,19.70,9.37,31.47,16.38,27.84,11.60,7.42,26.98,16.59,19.12,6.04,-4.55,-3.62,3.37,2.04,-20.63,-4.77,-12.83,8.01
S0_BASE_bs00_E29,ETH.8.11,2018,33.94,19.15,10.01,36.65,17.35,30.66,15.37,9.45,30.40,18.43,21.17,3.05,1.97,12.26,9.47,12.37,5.11,21.26,-1.79,19.99
S0_BASE_bs00_E30,ETH.8.11,2018,31.51,22.09,12.49,35.50,22.32,27.68,10.79,8.71,26.65,15.17,12.49,18.91,27.17,8.74,40.85,1.47,-26.22,11.87,-13.91,-1.24
S0_BASE_bs00_E31,ETH.8.11,2018,31.43,17.68,10.49,33.07,18.15,35.64,24.25,6.38,31.76,25.46,12.21,-4.83,6.79,1.27,14.49,30.65,65.89,-18.07,2.61,65.73
S0_BASE_bs00_E32,ETH.8.11,2018,35.72,18.95,9.64,33.83,19.46,35.60,23.92,10.37,30.81,24.90,27.51,2.01,-1.88,3.61,22.80,30.50,63.60,33.15,-0.45,62.11
S0_BASE_bs00_E33,ETH.8.11,2018,36.88,22.40,10.19,34.59,16.63,35.19,24.04,12.36,34.39,25.52,31.67,20.54,3.75,5.93,4.91,29.00,64.40,58.64,11.11,66.15
S0_BASE_bs00_E34,ETH.8.11,2018,36.91,18.82,9.94,36.69,18.18,35.89,22.95,10.54,31.44,21.57,31.78,1.31,1.20,12.36,14.71,31.55,56.97,35.28,1.58,40.42
S0_BASE_bs00_E01,ETH.8.12,2018,48.58,5.17,6.09,38.40,30.20,55.55,17.28,8.32,38.89,35.96,-6.81,-10.35,47.07,3.46,30.77,11.47,64.87,-27.12,-1.13,23.56
S0_BASE_bs00_E02,ETH.8.12,2018,50.45,5.19,3.29,39.21,30.56,52.51,17.58,5.89,37.73,37.37,-3.22,-10.04,-20.59,5.65,32.35,5.38,67.79,-48.36,-4.09,28.41
S0_BASE_bs00_E03,ETH.8.12,2018,58.25,8.28,4.97,41.53,33.79,55.53,17.06,7.60,40.41,35.65,11.74,43.52,19.97,11.92,46.33,11.45,62.80,-33.43,2.72,22.51
S0_BASE_bs00_E04,ETH.8.12,2018,52.80,7.96,3.05,43.32,30.87,53.65,17.08,7.49,39.34,36.34,1.28,37.89,-26.27,16.74,33.71,7.67,62.96,-34.37,0.00,24.87
S0_BASE_bs00_E05,ETH.8.12,2018,53.53,5.33,1.62,38.50,26.71,55.33,17.06,5.17,35.42,36.99,2.69,-7.57,-60.87,3.74,15.68,11.04,62.81,-54.65,-9.96,27.12
S0_BASE_bs00_E06,ETH.8.12,2018,58.62,7.96,3.26,41.32,28.67,56.28,3.74,8.47,40.54,27.19,12.45,38.03,-21.35,11.33,24.18,12.95,-64.32,-25.80,3.06,-6.58
S0_BASE_bs00_E07,ETH.8.12,2018,57.55,4.95,1.66,40.27,29.52,55.28,17.27,7.93,37.98,33.37,10.40,-14.23,-60.01,8.52,27.87,10.93,64.76,-30.53,-3.46,14.69
S0_BASE_bs00_E08,ETH.8.12,2018,53.77,5.57,2.01,39.30,28.32,51.95,17.26,6.80,38.73,36.84,3.15,-3.45,-51.49,5.90,22.66,4.25,64.74,-40.42,-1.56,26.61
S0_BASE_bs00_E09,ETH.8.12,2018,59.04,9.65,2.94,46.18,33.53,55.32,6.77,14.08,42.29,28.45,13.26,67.27,-29.02,24.45,45.20,11.02,-35.44,23.38,7.50,-2.24
S0_BASE_bs00_E10,ETH.8.12,2018,58.55,5.35,5.60,40.80,27.84,51.43,14.39,8.95,40.10,35.64,12.31,-7.26,35.17,9.95,20.58,3.20,37.27,-21.55,1.94,22.48
S0_BASE_bs00_E11,ETH.8.12,2018,51.67,5.03,1.42,40.20,27.28,55.51,17.77,6.80,38.84,34.48,-0.88,-12.86,-65.79,8.33,18.15,11.40,69.52,-40.39,-1.27,18.48
S0_BASE_bs00_E12,ETH.8.12,2018,50.80,5.33,4.14,40.32,32.06,55.14,16.71,8.82,38.60,33.72,-2.56,-7.58,0.10,8.66,38.85,10.67,59.47,-22.72,-1.88,15.89
S0_BASE_bs00_E13,ETH.8.12,2018,58.52,8.14,3.29,40.69,31.69,57.76,17.03,7.83,39.37,34.68,12.25,41.13,-20.60,9.65,37.26,15.91,62.53,-31.35,0.07,19.18
S0_BASE_bs00_E14,ETH.8.12,2018,59.63,8.07,7.28,44.98,32.09,54.17,4.26,7.62,44.12,25.56,14.38,39.82,75.79,21.20,38.97,8.71,-59.37,-33.17,12.16,-12.18
S0_BASE_bs00_E15,ETH.8.12,2018,56.79,8.21,4.20,44.81,31.98,56.70,4.74,7.99,39.12,19.41,8.93,42.33,1.52,20.76,38.50,13.78,-54.79,-29.96,-0.56,-33.29
S0_BASE_bs00_E16,ETH.8.12,2018,55.14,8.58,4.67,45.21,32.84,55.34,2.78,9.47,44.90,27.70,5.78,48.68,12.90,21.82,42.25,11.06,-73.49,-16.99,14.13,-4.80
S0_BASE_bs00_E17,ETH.8.12,2018,59.20,7.95,3.08,40.37,32.65,57.36,17.09,7.38,37.79,34.27,13.57,37.81,-25.64,8.77,41.41,15.12,63.05,-35.29,-3.95,17.75
S0_BASE_bs00_E18,ETH.8.12,2018,57.26,8.17,4.25,40.64,31.61,54.45,13.13,7.35,39.78,32.21,9.84,41.51,2.54,9.51,36.91,9.27,25.32,-35.55,1.13,10.70
S0_BASE_bs00_E19,ETH.8.12,2018,60.13,7.52,1.39,40.59,30.06,56.75,13.90,10.36,39.67,30.72,15.35,30.34,-66.48,9.38,30.19,13.90,32.61,-9.21,0.83,5.56
S0_BASE_bs00_E20,ETH.8.12,2018,56.89,5.04,6.02,39.19,29.87,55.64,16.29,9.26,38.13,34.74,9.13,-12.71,45.35,5.61,29.35,11.66,55.43,-18.81,-3.08,19.37
S0_BASE_bs00_E21,ETH.8.12,2018,59.03,8.00,3.29,43.40,34.77,55.06,18.18,9.49,41.16,34.53,13.24,38.72,-20.42,16.95,50.57,10.50,73.43,-16.81,4.62,18.64
S0_BASE_bs00_E22,ETH.8.12,2018,59.27,7.89,1.71,42.42,28.26,56.96,17.85,5.52,39.15,35.88,13.70,36.78,-58.64,14.31,22.38,14.31,70.33,-51.65,-0.47,23.29
