scenario,GID_2,month,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2019-03,0.060720741,1861.474094,3884.615385,-0.024737577,-1270.192727,-28.94695076,-40.55963803,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2019-04,1.497248831,62759.47692,3884.615385,0.886096276,40490.73022,144.98774,181.8276115,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2018-05,1.192151982,51074.4822,3884.615385,-1.060280538,-62696.95579,-47.07268824,-55.10781695,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2018-06,2.667509657,97311.64614,3884.615385,-1.157776159,-75134.60131,-30.26639615,-43.56986738,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2018-07,0,0,3884.615385,-0.053185031,-1197.788949,-100,-100,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2018-08,0.558598186,121997.8439,3884.615385,-1.556311526,-31834.06411,-73.58761071,-20.6940579,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2018-09,4.981987836,262800.3236,3884.615385,0.589097681,7649.545276,13.41025293,2.998048968,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2018-10,2.227468558,93518.35182,3884.615385,-0.134994679,-35424.48994,-5.714149406,-27.47301786,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2018-11,1.217735951,60358.52495,3884.615385,-0.516722094,-34670.95972,-29.79155912,-36.48442359,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2018-12,2.740496475,149483.4322,3884.615385,0.115898945,12564.44486,4.415874941,9.176554031,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2019-01,0.029273802,20806.50133,21954.54545,-0.058648836,-39652.0555,-66.70504605,-65.5855144,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2019-02,0.011834622,7611.601451,21954.54545,-0.133861455,-87642.37897,-91.8771853,-92.00915131,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2019-03,0.338214562,237843.8236,21954.54545,0.102143718,81430.33636,43.26824785,52.06094294,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2019-04,1.748706743,1227100.476,21954.54545,0.239500214,198602.8533,15.8692803,19.30999633,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2018-05,2.341551656,1629496.924,21954.54545,0.493361473,357315.6238,26.69430221,28.08684766,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2018-06,2.249034928,1561725.921,21954.54545,0.343588709,236612.356,18.03192899,17.85600588,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.14,2018-07,2.79E-07,0.163803006,21954.54545,-0.10658838,-63469.81191,-99.99973838,-99.99974192,,,,,,,,,
