"State/County","Cereal area (Hectares)"," Mid-2014 Population "," 2013 Net Cereal production (Tonnes)"," 2014 Cereal Requirements (Tonnes)"," 2014 Cereal Gap (Tonnes)"
"Returnees (by IOM) WBG ","6,087 ","131,084 ","4,383 ","14,420 ","-10,037 "
"Wau ","28,852 ","180,099 ","25,390 ","21,611 ","3,779 "
""
"Western Equatoria ","169,172 ","803,983 ","178,825","116,578 ","62,247 "
"Ezo ","26,142 ","96,240 ","27,187 ","13,955 ","13,232 "
"Ibba ","15,049 ","49,832 ","16,854 ","7,226 ","9,628 "
"Maridi ","20,480 ","98,144 ","22,937 ","14,231 ","8,706 "
"Mundri East ","7,946 ","57,507 ","6,993 ","8,339 ","-1,346 "
"Mundri West ","5,588 ","40,437 ","5,364 ","5,863 ","-499 "
"Mvolo ","7,327 ","57,288 ","7,034 ","8,307 ","-1,273 "
"Nagero ","3,079 ","11,993 ","2,709 ","1,739 ","970 "
"Nzara ","23,778 ","78,209 ","26,632 ","11,340 ","15,292 "
"Returnees (by IOM) WES ","2,581 ","67,224 ","2,374 ","9,747 ","-7,373 "
"Tambura ","20,788 ","65,895 ","19,957 ","9,555 ","10,402 "
"Yambio ","36,414 ","181,214 ","40,784 ","26,276 ","14,508 "
""
