"State/County","Cereal area (Hectares)"," Mid-2017 Population "," 2016 Net Cereal production (Tonnes)"," 2017 Cereal Requirements (Tonnes)"," 2017 Cereal Gap (Tonnes)"
"Panyijiar ","2,148 ","77,008 ","859 ","6,546 ","-5,687 "
"Pariang ","3,826 ","147,896 ","2,449 ","12,571 ","-10,122 "
"Rubkona ","870 ","212,332 ","417 ","20,172 ","-19,755 "
""
"Upper Nile ","48,103 ","1,177,470 ","29,613","102,258 ","-72,645 "
"Baliet ","960 ","72,689 ","461 ","6,179 ","-5,718 "
"Fashoda ","260 ","33,151 ","125 ","2,818 ","-2,693 "
"Longochuk ","699 ","14,653 ","336 ","1,245 ","-909 "
"Luakpiny/Nasir ","14,306 ","323,013 ","9,156 ","27,456 ","-18,300 "
"Maban ","5,370 ","66,126 ","3,437 ","5,621 ","-2,184 "
"Maiwut ","4,088 ","106,449 ","1,962 ","9,048 ","-7,086 "
"Malakal ","742 ","136,240 ","415 ","12,942 ","-12,527 "
"Manyo ","1,447 ","44,326 ","926 ","3,768 ","-2,842 "
"Melut ","4,162 ","59,395 ","3,329 ","5,049 ","-1,720 "
"Panyikang ","680 ","29,795 ","435 ","2,533 ","-2,098 "
"Renk ","10,277 ","162,079 ","6,577 ","14,587 ","-8,010 "
"Ulang ","5,112 ","129,554 ","2,454 ","11,012 ","-8,558 "
""
"Warrap ","146,966 ","1,336,880 ","133,123","129,861 ","3,262 "
"Gogrial East ","13,634 ","150,625 ","10,908 ","14,309 ","-3,401 "
"Gogrial West ","54,426 ","345,398 ","52,249 ","36,267 ","15,982 "
"Tonj East ","10,606 ","141,149 ","6,788 ","14,115 ","-7,327 "
"Tonj North ","22,809 ","219,739 ","18,247 ","21,973 ","-3,726 "
"Tonj South ","15,751 ","115,018 ","16,381 ","10,351 ","6,030 "
"Twic ","29,740 ","364,951 ","28,550 ","32,846 ","-4,296 "
""
"Western Bahr El Ghazal ","51,081 ","573,728 ","45,452","64,440 ","-18,988 "
"Jur River ","21,053 ","211,738 ","18,526 ","23,292 ","-4,766 "
"Raga ","6,260 ","114,522 ","6,010 ","11,452 ","-5,442 "
"Wau ","23,768 ","247,468 ","20,916 ","29,696 ","-8,780 "
""
"Western Equatoria ","113,296 ","838,305 ","116,936","121,555 ","-4,619 "
"Ezo ","7,348 ","112,079 ","8,230 ","16,252 ","-8,022 "
"Ibba ","13,021 ","51,041 ","13,542 ","7,401 ","6,141 "
"Maridi ","14,787 ","105,210 ","15,379 ","15,256 ","123 "
"Mundri East ","3,101 ","62,849 ","2,481 ","9,113 ","-6,632 "
"Mundri West ","3,158 ","57,182 ","2,779 ","8,291 ","-5,512 "
"Mvolo ","4,705 ","63,507 ","3,388 ","9,209 ","-5,821 "
"Nagero ","1,914 ","16,548 ","1,684 ","2,399 ","-715 "
"Nzara ","19,758 ","78,794 ","22,129 ","11,425 ","10,704 "
"Tambura ","23,202 ","78,860 ","24,130 ","11,435 ","12,695 "
"Yambio ","22,302 ","212,235 ","23,194 ","30,774 ","-7,580 "
""
