"State/County","Cereal area (Hectares)"," Mid-2018 Population "," 2017 Net Cereal production (Tonnes)"," 2018 Cereal Requirements (Tonnes)"," 2018 Cereal Gap (Tonnes)"
"Tonj North ","24,985 ","240,704 ","19,988 ","24,070 ","-4,082 "
"Tonj South ","18,979 ","129,348 ","19,738 ","11,641 ","8,097 "
"Twic ","31,787 ","425,538 ","30,516 ","38,299 ","-7,783 "
""
"Western Bahr El Ghazal ","36,790 ","542,049 ","32,698","61,499 ","-28,801 "
"Jur River ","14,985 ","158,252 ","13,187 ","17,408 ","-4,221 "
"Raga ","4,025 ","98,181 ","3,864 ","9,818 ","-5,954 "
"Wau ","17,780 ","285,616 ","15,647 ","34,273 ","-18,626 "
""
"Western Equatoria ","101,076 ","687,732 ","110,318","109,524 ","794 "
"Ezo ","9,215 ","105,422 ","11,058 ","15,286 ","-4,228 "
"Ibba ","7,825 ","30,675 ","8,138 ","4,448 ","3,690 "
"Maridi ","11,530 ","76,568 ","11,991 ","11,102 ","889 "
"Mundri East ","3,339 ","67 ","2,938 ","9,813 ","-6,875 "
"Mundri West ","3,000 ","54,321 ","2,880 ","7,877 ","-4,997 "
"Mvolo ","4,517 ","85,353 ","2,891 ","12,376 ","-9,485 "
"Nagero ","1,273 ","11,010 ","1,121 ","1,596 ","-475 "
"Nzara ","16,097 ","56,101 ","20,604 ","8,135 ","12,469 "
"Tambura ","21,868 ","74,326 ","24,492 ","10,777 ","13,715 "
"Yambio ","22,412 ","193,889 ","24,205 ","28,114 ","-3,909 "
""
